site,date,tmean_C,tmin_C,tmax_C
20606618,2021-08-04,23.129798889160156,14.608499526977539,31.651199340820313
20606618,2021-08-05,24.206098556518555,14.18549919128418,34.226898193359375
20606618,2021-08-06,21.619298934936523,15.862099647521973,27.376699447631836
20606618,2021-08-07,21.279399871826172,15.979299545288086,26.57969856262207
20606618,2021-08-08,20.367300033569336,13.474100112915039,27.26059913635254
20606618,2021-08-09,17.476499557495117,10.779999732971191,24.173198699951172
20606618,2021-08-10,19.833599090576172,10.881699562072754,28.78569984436035
20606618,2021-08-11,23.287498474121094,13.868499755859375,32.70650100708008
20606618,2021-08-12,27.594499588012695,16.865400314331055,38.32379913330078
20606618,2021-08-13,28.861099243164063,18.84549903869629,38.876800537109375
20606618,2021-08-14,26.620800018310547,18.79800033569336,34.44369888305664
20606618,2021-08-15,25.330398559570313,17.656299591064453,33.00469970703125
20606618,2021-08-16,24.83099937438965,15.158299446105957,34.50379943847656
20606618,2021-08-17,21.559598922729492,13.821399688720703,29.29789924621582
20606618,2021-08-18,15.740699768066406,11.241399765014648,20.24020004272461
20606618,2021-08-19,18.527700424194336,10.710299491882324,26.345298767089844
20606618,2021-08-20,19.574298858642578,12.630999565124512,26.517799377441406
20606618,2021-08-21,17.817699432373047,13.701299667358398,21.934200286865234
20606618,2021-08-22,17.201000213623047,13.120800018310547,21.28139877319336
20606618,2021-08-23,13.527099609375,8.28380012512207,18.770599365234375
20606618,2021-08-24,15.222599983215332,8.306599617004395,22.1387996673584
20606618,2021-08-25,18.63409996032715,7.804699897766113,29.463600158691406
20606618,2021-08-26,18.08799934387207,10.613100051879883,25.563098907470703
20606618,2021-08-27,18.79749870300293,13.67199993133545,23.923099517822266
20606618,2021-08-28,15.770699501037598,9.257200241088867,22.284399032592773
20606618,2021-08-29,19.77120018005371,9.235799789428711,30.306798934936523
20606618,2021-08-30,20.326398849487305,10.47089958190918,30.18199920654297
20606618,2021-08-31,14.981800079345703,9.607500076293945,20.35610008239746
10808797,2021-07-01,19.638198852539063,15.439099311828613,23.837499618530273
10808797,2021-07-02,19.207199096679688,15.75529956817627,22.659299850463867
10808797,2021-07-03,21.255599975585938,13.884599685668945,28.626699447631836
10808797,2021-07-04,21.522499084472656,13.367399215698242,29.677799224853516
10808797,2021-07-05,20.969799041748047,12.7972993850708,29.142398834228516
10808797,2021-07-06,20.40959930419922,11.653999328613281,29.1653995513916
10808797,2021-07-07,22.198200225830078,12.87399959564209,31.522598266601563
10808797,2021-07-08,17.689199447631836,12.429800033569336,22.948699951171875
10808797,2021-07-09,18.132699966430664,10.894599914550781,25.370899200439453
10808797,2021-07-10,20.79170036315918,10.73639965057373,30.847198486328125
10808797,2021-07-11,21.129199981689453,12.19279956817627,30.065698623657227
10808797,2021-07-12,20.562898635864258,11.49839973449707,29.627599716186523
10808797,2021-07-13,20.48069953918457,11.724100112915039,29.237499237060547
10808797,2021-07-14,20.24020004272461,11.65250015258789,28.827999114990234
10808797,2021-07-15,19.62579917907715,11.678899765014648,27.572898864746094
10808797,2021-07-16,18.727298736572266,11.700900077819824,25.753700256347656
10808797,2021-07-17,18.042200088500977,11.138799667358398,24.945798873901367
10808797,2021-07-18,19.3804988861084,11.472099304199219,27.289098739624023
10808797,2021-07-19,20.581199645996094,11.457399368286133,29.7052001953125
10808797,2021-07-20,21.51140022277832,12.706999778747559,30.315898895263672
10808797,2021-07-21,18.984298706054688,12.3371000289917,25.631500244140625
10808797,2021-07-22,16.948598861694336,10.927399635314941,22.969900131225586
10808797,2021-07-23,18.352699279785156,9.892999649047852,26.8125
10808797,2021-07-24,19.578100204467773,10.250999450683594,28.90530014038086
10808797,2021-07-25,22.356399536132813,12.637499809265137,32.07539749145508
10808797,2021-07-26,22.592899322509766,13.566100120544434,31.61989974975586
10808797,2021-07-27,21.927499771118164,12.824399948120117,31.030698776245117
10808797,2021-07-28,22.184598922729492,13.857599258422852,30.511798858642578
10808797,2021-07-29,23.48069953918457,13.490900039672852,33.47050094604492
10808797,2021-07-30,25.242799758911133,14.72659969329834,35.759098052978516
10808797,2021-07-31,24.075599670410156,17.116498947143555,31.03489875793457
10808797,2021-08-01,22.86319923400879,18.240598678588867,27.485898971557617
10808797,2021-08-02,23.237998962402344,14.929399490356445,31.546798706054688
10808797,2021-08-03,23.4955997467041,13.936100006103516,33.0552978515625
10808797,2021-08-04,23.095298767089844,14.681699752807617,31.50899887084961
10808797,2021-08-05,24.153099060058594,14.168999671936035,34.137298583984375
10808797,2021-08-06,21.54360008239746,15.824599266052246,27.262800216674805
10808797,2021-08-07,21.319198608398438,16.067800521850586,26.570798873901367
10808797,2021-08-08,20.369400024414063,13.499899864196777,27.239099502563477
10808797,2021-08-09,17.48069953918457,10.880000114440918,24.081499099731445
10808797,2021-08-10,19.8981990814209,10.996099472045898,28.800399780273438
10808797,2021-08-11,23.283998489379883,13.933499336242676,32.63459777832031
10808797,2021-08-12,27.50629997253418,16.77400016784668,38.23870086669922
10808797,2021-08-13,28.874300003051758,18.828399658203125,38.9203987121582
10808797,2021-08-14,26.63599967956543,18.85070037841797,34.4214973449707
10808797,2021-08-15,25.38239860534668,17.851200103759766,32.913700103759766
10808797,2021-08-16,24.85540008544922,15.251799583435059,34.459197998046875
10808797,2021-08-17,21.675399780273438,13.977099418640137,29.373899459838867
10808797,2021-08-18,15.771499633789063,11.39680004119873,20.146398544311523
10808797,2021-08-19,18.49519920349121,10.791199684143066,26.199298858642578
10808797,2021-08-20,19.632299423217773,12.784899711608887,26.47989845275879
10808797,2021-08-21,17.879199981689453,13.871199607849121,21.887399673461914
10808797,2021-08-22,17.329700469970703,13.287300109863281,21.372299194335938
10808797,2021-08-23,13.561599731445313,8.39680004119873,18.72640037536621
10808797,2021-08-24,15.21239948272705,8.27929973602295,22.145599365234375
10808797,2021-08-25,18.656700134277344,7.839200019836426,29.47439956665039
10808797,2021-08-26,18.111398696899414,10.642199516296387,25.580699920654297
10808797,2021-08-27,19.006999969482422,13.888599395751953,24.125598907470703
10808797,2021-08-28,15.765599250793457,9.206199645996094,22.325199127197266
10808797,2021-08-29,19.628299713134766,8.969599723815918,30.287099838256836
10808797,2021-08-30,20.214698791503906,10.304299354553223,30.12529945373535
10808797,2021-08-31,14.922199249267578,9.6016998291015625,20.242799758911133
20941691,2021-07-01,18.023698806762695,13.050600051879883,22.996999740600586
20941691,2021-07-02,14.736700057983398,11.904999732971191,17.568498611450195
20941691,2021-07-03,17.253700256347656,11.571499824523926,22.935998916625977
20941691,2021-07-04,18.768299102783203,11.815199851989746,25.721599578857422
20941691,2021-07-05,18.280099868774414,11.84179973602295,24.718599319458008
20941691,2021-07-06,18.60879898071289,11.442899703979492,25.774799346923828
20941691,2021-07-07,21.06639862060547,12.514699935913086,29.61819839477539
20941691,2021-07-08,14.898200035095215,10.132499694824219,19.664098739624023
20941691,2021-07-09,15.477699279785156,9.378199577331543,21.57740020751953
20941691,2021-07-10,18.587099075317383,9.276800155639648,27.89739990234375
20941691,2021-07-11,18.672300338745117,11.635899543762207,25.708799362182617
20941691,2021-07-12,18.207199096679688,10.705499649047852,25.708999633789063
20941691,2021-07-13,18.00589942932129,11.577799797058105,24.434099197387695
20941691,2021-07-14,18.535900115966797,11.343899726867676,25.727998733520508
20941691,2021-07-15,17.262699127197266,10.669300079345703,23.856298446655273
20941691,2021-07-16,15.32450008392334,9.321800231933594,21.327299118041992
20941691,2021-07-17,13.860099792480469,8.303699493408203,19.41659927368164
20941691,2021-07-18,15.697099685668945,8.940499305725098,22.453899383544922
20941691,2021-07-19,17.827199935913086,9.958399772644043,25.696199417114258
20941691,2021-07-20,17.49810028076172,10.66939926147461,24.32699966430664
20941691,2021-07-21,15.052399635314941,9.090399742126465,21.01449966430664
20941691,2021-07-22,11.904999732971191,7.676499843597412,16.13360023498535
20941691,2021-07-23,14.020499229431152,6.751399993896484,21.289798736572266
20941691,2021-07-24,16.308500289916992,8.527299880981445,24.08989906311035
20941691,2021-07-25,19.846899032592773,12.02139949798584,27.67259979248047
20941691,2021-07-26,19.63909912109375,12.868799209594727,26.40959930419922
20941691,2021-07-27,19.489599227905273,12.434599876403809,26.54469871520996
20941691,2021-07-28,18.400400161743164,12.929800033569336,23.871000289916992
20941691,2021-07-29,20.764299392700195,13.142899513244629,28.38589859008789
20941691,2021-07-30,23.156599044799805,15.450900077819824,30.86240005493164
20941691,2021-07-31,24.396398544311523,18.264999389648438,30.527999877929688
20941691,2021-08-01,22.20119857788086,18.573999404907227,25.82859992980957
20941691,2021-08-02,22.224699020385742,15.989699363708496,28.45989990234375
20941691,2021-08-03,24.456600189208984,16.168298721313477,32.74509811401367
20941691,2021-08-04,21.564199447631836,15.507499694824219,27.62099838256836
20941691,2021-08-05,22.566299438476563,14.857199668884277,30.27549934387207
20941691,2021-08-06,16.739500045776367,12.997699737548828,20.48149871826172
